fixture,family,size,track,runner,algorithm,ok,wall_ns_median,rounds,best_round,exhausted,peak_rss_kb,n_inputs,n_legacy_inputs,child_weight,child_fee,change_value,child_surplus,ancestors_in_union,union_bump,core_summed_individual_bump,core_combined_bump,covers_union_bump,covers_core_bump,package_fee,package_weight,package_feerate_sat_per_vb,package_meets_target,target_shortfall,within_max_weight,core_waste,waste,score,matches_oracle
no_ancestry_20,no_ancestry,20,wallet,bitcoin-core,bnb,True,416940,16450,,True,19232,11,0,3208,8025,0,5,0,0,0,0,True,True,8025,3208,10.0062,True,0,True,5,5,,
no_ancestry_20,no_ancestry,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,5560,13,,True,2756,2,0,932,2330,904494,0,0,0,0,0,True,True,2330,932,10.0,True,0,True,604,,2910.0,
no_ancestry_200,no_ancestry,200,wallet,bitcoin-core,bnb,True,2140229,100000,,False,19232,14,0,4024,10060,0,0,0,0,0,0,True,True,10060,4024,10.0,True,0,True,0,0,,
no_ancestry_200,no_ancestry,200,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,1578246,8127,,True,2820,9,0,2836,7090,30296,0,0,0,0,0,True,True,7090,2836,10.0,True,0,True,604,,7670.0,
no_ancestry_2000,no_ancestry,2000,wallet,bitcoin-core,knapsack,True,1363614,,,,19232,328,0,89440,223580,0,-20,0,0,0,0,False,False,223580,89440,9.9991,False,20,True,0,0,,
no_ancestry_2000,no_ancestry,2000,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,18248657,100000,,False,3340,82,0,22692,56730,31610,0,0,0,0,0,True,True,56730,22692,10.0,True,0,True,604,,57310.0,
no_ancestry_50,no_ancestry,50,wallet,bitcoin-core,bnb,True,1316064,100000,,False,19232,10,0,2936,7341,0,1,0,0,0,0,True,True,7341,2936,10.0014,True,0,True,1,1,,
no_ancestry_50,no_ancestry,50,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,345076,1191,,True,2784,4,0,1476,3690,1211609,0,0,0,0,0,True,True,3690,1476,10.0,True,0,True,604,,4270.0,
no_ancestry_500,no_ancestry,500,wallet,bitcoin-core,knapsack,True,628327,,,,19232,37,0,10280,25700,0,0,0,0,0,0,True,True,25700,10280,10.0,True,0,True,0,0,,
no_ancestry_500,no_ancestry,500,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,18181070,100000,,False,2928,24,0,6744,16885,0,25,0,0,0,0,True,True,16885,6744,10.0148,True,0,True,25,,16885.0,
private_ancestry_100,private_ancestry,100,wallet,bitcoin-core,bnb,True,2638632,100000,,False,19232,8,0,2392,5982,0,2,0,0,0,0,True,True,5982,2392,10.0033,True,0,True,2,2,,
private_ancestry_100,private_ancestry,100,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,262672,929,,True,2820,6,0,1848,4637,0,17,0,0,0,0,True,True,4637,1848,10.0368,True,0,True,17,,4637.0,
private_ancestry_20,private_ancestry,20,wallet,bitcoin-core,bnb,True,491250,6132,,True,19232,7,0,2120,5438,0,138,0,0,0,0,True,True,5438,2120,10.2604,True,0,True,138,138,,
private_ancestry_20,private_ancestry,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,10700,17,,True,2772,2,0,932,3378,1096010,1048,1,1048,1048,1048,True,True,3640,1456,10.0,True,0,True,1652,,3958.0,
private_ancestry_200,private_ancestry,200,wallet,bitcoin-core,bnb,True,1514567,100000,,False,19232,14,0,4024,20144,0,10084,5,10080,10080,10080,True,True,23074,9228,10.0017,True,0,True,10084,10084,,
private_ancestry_200,private_ancestry,200,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,8955723,50537,,True,2856,16,0,4568,11420,0,0,0,0,0,0,True,True,11420,4568,10.0,True,0,True,0,,11420.0,
private_ancestry_50,private_ancestry,50,wallet,bitcoin-core,bnb,True,802723,100000,,False,19232,9,0,2664,8116,0,1456,1,1456,1456,1456,True,True,8740,3496,10.0,True,0,True,1456,1456,,
private_ancestry_50,private_ancestry,50,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,373069,2082,,True,2820,3,0,1204,4466,1109604,1456,1,1456,1456,1456,True,True,5090,2036,10.0,True,0,True,2060,,5046.0,
shared_ancestry_100,shared_ancestry,100,wallet,bitcoin-core,knapsack,True,1813246,,,,19232,9,0,2836,17107,97226,10017,2,10017,10017,10017,True,True,18220,7288,10.0,True,0,True,10621,10621,,
shared_ancestry_100,shared_ancestry,100,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,9996983,53709,,True,2812,11,0,3208,14878,0,6858,2,6840,6840,6840,True,True,15638,6248,10.0115,True,0,True,6858,,14878.0,
shared_ancestry_1000,shared_ancestry,1000,wallet,bitcoin-core,bnb,True,1965601,100000,,False,19232,48,0,13444,146873,34651,113263,23,113263,148344,113263,True,True,166820,66728,10.0,True,0,True,113867,113867,,
shared_ancestry_1000,shared_ancestry,1000,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,19665190,100000,,False,3040,44,0,12356,136212,139678,105322,21,105322,140403,105322,True,True,154550,61820,10.0,True,0,True,105926,,136792.0,
shared_ancestry_20,shared_ancestry,20,wallet,bitcoin-core,srd,True,378148,,,,19232,5,0,1748,6359,279412,1989,1,1989,5967,1989,True,True,6580,2632,10.0,True,0,True,2593,2593,,
shared_ancestry_20,shared_ancestry,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,9368,20,,True,2800,2,0,932,4319,181597,1989,1,1989,1989,1989,True,True,4540,1816,10.0,True,0,True,2593,,4899.0,
shared_ancestry_200,shared_ancestry,200,wallet,bitcoin-core,bnb,True,2424090,100000,,False,19232,12,0,3652,39610,6822,30480,8,30480,37384,30480,True,True,46550,18620,10.0,True,0,True,31084,31084,,
shared_ancestry_200,shared_ancestry,200,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,19143913,100000,,False,2844,17,0,4840,21069,0,8969,3,8512,12432,8512,True,True,23197,9096,10.201,True,0,True,8969,,21069.0,
shared_ancestry_2000,shared_ancestry,2000,wallet,bitcoin-core,bnb,True,3025486,100000,,False,19232,92,0,25412,268609,17515,205079,45,205079,222505,205079,True,True,301330,120532,10.0,True,0,True,205683,205683,,
shared_ancestry_2000,shared_ancestry,2000,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,20816897,100000,,False,3308,91,0,25140,264497,109398,201647,44,201647,223729,201647,True,True,296360,118544,10.0,True,0,True,202251,,265077.0,
shared_ancestry_50,shared_ancestry,50,wallet,bitcoin-core,bnb,True,1750328,100000,,False,19232,6,0,1848,4620,0,0,0,0,0,0,True,True,4620,1848,10.0,True,0,True,0,0,,
shared_ancestry_50,shared_ancestry,50,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,71504,230,,True,2788,5,0,1576,4098,0,158,0,0,0,0,True,True,4098,1576,10.401,True,0,True,158,,4098.0,
shared_ancestry_500,shared_ancestry,500,wallet,bitcoin-core,bnb,True,1557627,100000,,False,19232,22,0,6372,81024,3762,65094,14,65094,69214,65094,True,True,93470,37388,10.0,True,0,True,65698,65698,,
shared_ancestry_500,shared_ancestry,500,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,21204994,100000,,False,2912,20,0,5828,70673,722117,56103,12,56103,60223,56103,True,True,82120,32848,10.0,True,0,True,56707,,71253.0,
smoke,smoke,8,wallet,bitcoin-core,knapsack,True,119424,,,,19232,4,0,1436,6290,101710,2700,1,2700,5400,2700,True,True,6590,2636,10.0,True,0,True,3304,3304,,
smoke,smoke,8,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,18445,25,,True,2796,2,0,932,5030,24970,2700,1,2700,2700,2700,True,True,5330,2132,10.0,True,0,True,3304,,5610.0,
subsidizing_ancestry_100,subsidizing_ancestry,100,wallet,bitcoin-core,bnb,True,1169861,100000,,False,19232,11,0,3380,27953,17283,19503,5,19503,37215,19503,True,True,58460,23384,10.0,True,0,True,20107,20107,,
subsidizing_ancestry_100,subsidizing_ancestry,100,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,18216516,100000,,False,2792,7,0,2120,19006,0,13706,5,13635,32100,13635,True,True,51591,20608,10.0138,True,0,True,13706,,19006.0,
subsidizing_ancestry_20,subsidizing_ancestry,20,wallet,bitcoin-core,knapsack,True,378459,,,,19232,13,0,3924,34476,215378,24666,6,24666,142428,24666,True,True,63260,25304,10.0,True,0,True,25270,25270,,
subsidizing_ancestry_20,subsidizing_ancestry,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,15298,18,,True,2808,1,0,660,12147,422734,10497,2,10497,10497,10497,True,True,28870,11548,10.0,True,0,True,11101,,12727.0,
subsidizing_ancestry_200,subsidizing_ancestry,200,wallet,bitcoin-core,bnb,True,2326136,100000,,False,19232,12,0,3652,49477,7941,40347,8,40347,48714,40347,True,True,100240,40096,10.0,True,0,True,40951,40951,,
subsidizing_ancestry_200,subsidizing_ancestry,200,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,17841915,100000,,False,2888,10,0,2936,26132,0,18792,6,18738,32373,18738,True,True,74494,29776,10.0073,True,0,True,18792,,26132.0,
subsidizing_ancestry_50,subsidizing_ancestry,50,wallet,bitcoin-core,bnb,True,1756540,100000,,False,19232,10,0,2936,13494,0,6154,2,6144,6144,6144,True,True,29690,11872,10.0034,True,0,True,6154,6154,,
subsidizing_ancestry_50,subsidizing_ancestry,50,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,12099290,64794,,True,2824,5,0,1748,4508,370545,138,2,138,138,138,True,True,24500,9800,10.0,True,0,True,742,,5088.0,
wallet_mixed_100,wallet_mixed,100,wallet,bitcoin-core,bnb,True,2585833,100000,,False,19232,10,0,2816,7041,0,1,0,0,0,0,True,True,7041,2816,10.0014,True,0,True,1,1,,
wallet_mixed_100,wallet_mixed,100,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,900286,4127,,True,2816,6,0,1940,4850,18567,0,0,0,0,0,True,True,4850,1940,10.0,True,0,True,604,,5430.0,
wallet_mixed_1000,wallet_mixed,1000,wallet,bitcoin-core,bnb,True,1484671,100000,,False,19232,48,3,14307,83057,8195,47287,19,47297,55920,47297,False,False,101220,40491,9.999,False,10,True,47901,47901,,
wallet_mixed_1000,wallet_mixed,1000,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,20792040,100000,,False,3084,79,5,22765,56950,0,30,0,0,0,0,True,True,56950,22765,10.0053,True,0,True,50,,56950.0,
wallet_mixed_20,wallet_mixed,20,wallet,bitcoin-core,bnb,True,442919,2546,,True,19232,4,1,1717,4809,0,509,0,0,0,0,True,True,4809,1717,11.1837,True,0,True,519,519,,
wallet_mixed_20,wallet_mixed,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,3607,5,,True,2768,2,0,932,2330,336220,0,0,0,0,0,True,True,2330,932,10.0,True,0,True,604,,2910.0,
wallet_mixed_200,wallet_mixed,200,wallet,bitcoin-core,bnb,True,1324982,100000,,False,19232,11,0,3220,14967,0,6917,3,6917,6917,6917,True,True,15950,6380,10.0,True,0,True,6917,6917,,
wallet_mixed_200,wallet_mixed,200,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,3772475,18707,,True,2864,10,0,2896,7321,0,81,0,0,0,0,True,True,7321,2896,10.1119,True,0,True,81,,7321.0,
wallet_mixed_2000,wallet_mixed,2000,wallet,bitcoin-core,bnb,True,6788995,100000,,False,19232,91,6,27078,171550,12493,103850,40,103870,116524,103870,False,False,203660,81470,9.999,False,20,True,104474,104474,,
wallet_mixed_2000,wallet_mixed,2000,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,20790197,100000,,False,3476,130,11,39243,98454,0,344,0,0,0,0,True,True,98454,39243,10.0351,True,0,True,374,,98454.0,
wallet_mixed_50,wallet_mixed,50,wallet,bitcoin-core,bnb,True,1162367,100000,,False,19232,6,1,2221,5550,0,-10,0,0,0,0,False,False,5550,2221,9.982,False,10,True,0,0,,
wallet_mixed_50,wallet_mixed,50,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,37310,54,,True,2796,2,0,932,2330,1705646,0,0,0,0,0,True,True,2330,932,10.0,True,0,True,604,,2910.0,
wallet_mixed_500,wallet_mixed,500,wallet,bitcoin-core,bnb,True,6630768,100000,,False,19232,26,4,8912,38985,0,16705,7,16713,16713,16713,False,False,46272,18512,9.9983,False,8,True,16715,16715,,
wallet_mixed_500,wallet_mixed,500,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,19686590,100000,,False,2968,29,0,8216,20561,0,21,0,0,0,0,True,True,20561,8216,10.0102,True,0,True,21,,20561.0,
